from,to,year,relationship
heinz,konkretekunst,2012,10
heinz,konkretekunst,2013,10
heinz,mediennetzwerk,2017,10
heinz,mediennetzwerk,2018,10
heinz,mediennetzwerk,2019,10
heinz,mediennetzwerk,2020,10
heinz,mediennetzwerk,2021,10
heinz,mediennetzwerk,2022,10
heinz,sochatzky,,17
heinz,staatstheater,2011,7
heinz,stiftung_adenauer,2015,10
heinz,stiftung_adenauer,2016,10
heinz,stiftung_adenauer,2017,10
heinz,uni_eichstaett,2011,7
heinz,uni_eichstaett,2012,7
heinz,uni_eichstaett,2013,7
heinz,uni_eichstaett,2014,7
heinz,uni_eichstaett,2015,7
heinz,uni_eichstaett,2010,2
heinz,uni_eichstaett,2011,2
heinz,uni_eichstaett,2012,2
heinz,uni_eichstaett,2013,2
heinz,uni_eichstaett,2014,2
heinz,uni_eichstaett,2014,3
heinz,uni_eichstaett,2015,3
heinz,uni_eichstaett,2016,3
heinz,uni_jena,2015,10
heinz,uni_jena,2016,10
heiss,daad,2014,14
heiss,kraus,,17
heiss,lhlk,2017,8
heiss,lhlk,2018,8
heiss,lhlk,2018,9
heiss,lhlk,2019,9
heiss,lhlk,2020,9
heiss,lhlk,2021,9
heiss,liepold,,17
heiss,loesch,,17
heiss,macromedia,2016,3
heiss,macromedia,2017,3
heiss,manz,,17
heiss,muckenfuss,,17
heiss,rauch_h,,17
heiss,steichele,,17
heiss,tum_institut,2021,9
heiss,tum_institut,2022,9
heiss,uni_dublin,2014,4
heiss,uni_eichstaett,2012,2
heiss,uni_eichstaett,2013,2
heiss,uni_eichstaett,2014,2
heiss,uni_eichstaett,2015,2
heitmueller,fischerappelt,,9
heitmueller,fu_berlin,,19
heitmueller,tu_muenchen,,3
heitzler,zdf,2009,7
heitzler,tv_suedbaden,2010,7
heitzler,radio_regenbogen,2010,7
heitzler,ketchum,2013,7
heitzler,ketchum,2014,7
heitzler,kiesewetter_komm,2014,8
heitzler,tandem,2015,9
heitzler,balloupr,2015,9
heitzler,balloupr,2016,9
heitzler,balloupr,2017,9
heitzler,serviceplan,2017,9
heitzler,serviceplan,2018,9
heitzler,serviceplan,2019,9
heitzler,haufe,2019,9
heitzler,haufe,2020,9
heitzler,haufe,2021,9
heitzler,haufe,2022,9
heitzler,uni_freiburg,2010,2
heitzler,uni_freiburg,2011,2
heitzler,uni_freiburg,2012,2
heitzler,uni_freiburg,2013,2
heitzler,uni_freiburg,2014,2
hellermann,foundamental,,12
hellermann,uni_duisburg,,2
helmhold_buente,edelman,2019,9
helmhold_buente,edelman,2020,9
helmhold_buente,edelman,2021,9
helmhold_buente,edelman,2022,9
helmhold_buente,hillknowlton,2014,9
helmhold_buente,hillknowlton,2015,9
helmhold_buente,hillknowlton,2016,9
helmhold_buente,hillknowlton,2017,9
helmhold_buente,hillknowlton,2018,9
helmhold_buente,hillknowlton,2019,9
helmhold_buente,johanniter,2012,7
helmhold_buente,johanniter,2014,7
helmhold_buente,stueck,,17
helmhold_buente,uni_goettingen,2007,2
helmhold_buente,uni_goettingen,2008,2
helmhold_buente,uni_goettingen,2009,2
helmhold_buente,uni_goettingen,2010,2
helmhold_buente,verbraucherzentrale,2011,7
helmhold_buente,yousty,2009,7
helmhold_buente,yousty,2010,7
hencke,convensis,,12
hencke,djv,,11
hencke,dprg,,13
hencke,uni_giessen,,20
hesse,fh_burgenland,2021,3
hesse,fh_burgenland,2022,3
hesse,sparkasse,2013,1
hesse,sparkasse,2014,1
hesse,sparkasse,2015,1
hesse,sparkasse,2016,1
hesse,th_mittelhessen,2016,2
hesse,th_mittelhessen,2017,2
hesse,th_mittelhessen,2018,2
hesse,th_mittelhessen,2019,2
hesse,viessmann,2016,7
hesse,viessmann,2017,7
hesse,viessmann,2018,7
hesse,viessmann,2019,7
hesse,viessmann,2019,9
hesse,viessmann,2020,9
hesse,viessmann,2021,9
hesse,viessmann,2022,9
hochberg,siemens,,9
hochberg,uni_washington,,2
hoehler,fleishmanhillard,2020,9
hoehler,fleishmanhillard,2021,9
hoehler,fleishmanhillard,2022,9
hoehler,freeglass,2015,7
hoehler,hbm,2015,7
hoehler,hs_darmstadt,2014,2
hoehler,hs_darmstadt,2015,2
hoehler,hs_darmstadt,2016,2
hoehler,hs_darmstadt,2017,2
hoehler,hs_darmstadt,2018,2
hoehler,klenkhoursch,2016,7
hoehler,klenkhoursch,2017,7
hoehler,klenkhoursch,2018,7
hoehler,klenkhoursch,2018,9
hoehler,klenkhoursch,2019,9
hoehler,klenkhoursch,2020,9
hoehler,klenkhoursch,2021,9
hoehler,kommon,2017,13
hoehler,kommon,2018,13
hoehler,kommon,2019,13
hoehler,kommon,2020,13
hoehler,kommon,2021,13
hofmann,absolventa,2012,7
hofmann,effektrausch,2015,12
hofmann,effektrausch,2016,12
hofmann,effektrausch,2017,12
hofmann,effektrausch,2018,12
hofmann,effektrausch,2019,12
hofmann,effektrausch,2020,12
hofmann,helios_kliniken,2020,9
hofmann,helios_kliniken,2021,9
hofmann,mrsnow,2012,9
hofmann,mrsnow,2013,9
hofmann,mrsnow,2014,9
hofmann,teamfact,2015,9
hofmann,teamfact,2016,9
hofmann,teamfact,2017,9
hofmann,teamfact,2018,9
hofmann,telekom,2014,9
hofmann,tu_chemnitz,2010,2
hofmann,tu_chemnitz,2011,2
hofmann,tu_chemnitz,2012,2
hofmann,tu_chemnitz,2013,2
hofmann,uni_bamberg,2013,3
hofmann,uni_bamberg,2014,3
hofmann,uni_bamberg,2015,3
hofmann_m,finsbury,,9
hofmann_m,uni_freiburg,,2
hofmann_m,uni_leipzig,,3
hofmann_m,uni_muenchen,,2
hofmann_m,uni_ohio,,4
holtschlag,brinkmann,,17
holtschlag,crystal_mckenzie,2017,7
holtschlag,crystal_mckenzie,2018,7
holtschlag,saintaubin,2014,7
holtschlag,sid,2014,7
holtschlag,skm_consultants,2018,8
holtschlag,skm_consultants,2019,8
holtschlag,skm_consultants,2019,9
holtschlag,skm_consultants,2020,9
holtschlag,skm_consultants,2021,9
holtschlag,skm_consultants,2022,9
holtschlag,th_koeln,2015,2
holtschlag,th_koeln,2016,2
holtschlag,th_koeln,2017,2
holtschlag,th_koeln,2018,2
holtschlag,uni_bochum,2012,2
holtschlag,uni_bochum,2013,2
holtschlag,uni_bochum,2014,2
holtschlag,uni_bochum,2015,2
holtschlag,uni_krems,2018,3
holtschlag,uni_krems,2019,3
holtschlag,uni_krems,2020,3
holtschlag,uni_tours,2014,4
holtschlag,uni_tours,2015,4
holtschlag,unicepta,2016,7
holtschlag,unicepta,2017,7
holtschlag,volksblatt,2009,10
holtschlag,volksblatt,2010,10
holtschlag,volksblatt,2011,10
holtschlag,volksblatt,2012,10
holtschlag,volksblatt,2013,10
holtschlag,volksblatt,2014,10
holtschlag,volksblatt,2015,10
holtschlag,volksblatt,2016,10
holtschlag,volksblatt,2017,10
holtschlag,volksblatt,2018,10
howe,daimler,,9
howe,uni_hamburg,,19
hoyningen_huene,audi,2012,7
hoyningen_huene,audi,2013,7
hoyningen_huene,enbw,2012,7
hoyningen_huene,heimat,2012,7
hoyningen_huene,finsbury,2013,9
hoyningen_huene,finsbury,2014,9
hoyningen_huene,finsbury,2015,9
hoyningen_huene,finsbury,2016,9
hoyningen_huene,finsbury,2017,9
hoyningen_huene,finsbury,2018,9
hoyningen_huene,macmillan,2009,7
hoyningen_huene,renalange,2010,8
hoyningen_huene,streeterville,2008,7
hoyningen_huene,telefonica,2019,9
hoyningen_huene,telefonica,2020,9
hoyningen_huene,telefonica,2021,9
hoyningen_huene,telefonica,2022,9
hoyningen_huene,uni_hohenheim,2011,3
hoyningen_huene,uni_hohenheim,2012,3
hoyningen_huene,uni_hohenheim,2013,3
hoyningen_huene,uni_wien,2008,2
hoyningen_huene,uni_wien,2009,2
hoyningen_huene,uni_wien,2010,2
hoyningen_huene,uni_wien,2011,2
hubert,hs_osnabrueck,,2
hubert,montuapartner,,9
hubert,priho,,11
hubert,studienstiftung,,14
hubert,uni_hohenheim,,3
hubert,uni_leipzig,,2
hueckmann,ketchum,,9
hueckmann,uni_wuerzburg,,20
jamous,diu,,3
jamous,solaris,,9
jamous,tu_dresden,,2
jensen,aundo,2014,7
jensen,columbus,2021,9
jensen,columbus,2022,9
jensen,havas,2016,8
jensen,havas,2018,9
jensen,havas,2019,9
jensen,havas,2020,9
jensen,havas,2021,9
jensen,heinepr,2015,7
jensen,heinepr,2016,7
jensen,jensen_k,,16
jensen,uni_barcelona,2013,4
jensen,uni_barcelona,2014,4
jensen,uni_hamburg,2011,2
jensen,uni_hamburg,2012,2
jensen,uni_hamburg,2013,2
jensen_k,aundo,,9
johannmeier,fh_mittelstand,,2
johannmeier,trailblazers,,12
johannmeier,uni_hamburg,,3
jost,ohhh,,9
jost,uni_hamburg,,2
juhl,eddiks,2010,1
juhl,eddiks,2011,1
juhl,eddiks,2012,1
juhl,eddiks,2013,1
juhl,harvard_engage,2016,9
juhl,harvard_engage,2017,9
juhl,harvard_engage,2018,9
juhl,intel,2021,9
juhl,intel,2022,9
juhl,laterpay,2015,9
juhl,oldenburgeins,2009,9
juhl,oldenburgeins,2010,9
juhl,sl_mediengruppe,2019,9
juhl,sl_mediengruppe,2020,9
juhl,sl_mediengruppe,2021,9
juhl,twitch,2014,10
juhl,twitch,2015,10
juhl,twitch,2016,10
juhl,twitch,2017,10
juhl,twitch,2018,10
juhl,twitch,2019,10
juhl,twitch,2020,10
juhl,twitch,2021,10
juhl,twitch,2022,10
juhl,webmedia,2013,9
juhl,webmedia,2014,9
kaiser,1und1,2013,8
kaiser,1und1,2014,9
kaiser,1und1,2015,9
kaiser,1und1,2016,9
lovric,anselmoellers,2016,9
lovric,anselmoellers,2017,9
lovric,autoclub,2014,7
lovric,autoclub,2015,7
lovric,bosch,2019,9
lovric,bosch,2020,9
lovric,bosch,2021,9
lovric,bosch,2022,9
lovric,bundestag,2011,7
lovric,bwstipendium,2014,14
kaiser,dapr,2015,6
lovric,eberspaecher,2017,9
lovric,eberspaecher,2018,9
lovric,eberspaecher,2019,9
kaiser,eon,2019,9
kaiser,eon,2020,9
kaiser,eon,2021,9
kaiser,eon,2022,9
kaiser,gea_group,2016,9
kaiser,gea_group,2017,9
kaiser,gea_group,2018,9
kaiser,gea_group,2019,9
kaiser,neuewestfaelische,2010,10
kaiser,neuewestfaelische,2011,10
kaiser,neuewestfaelische,2012,10
kaiser,neuewestfaelische,2013,10
lovric,suedwestbank,2015,8
lovric,suedwestbank,2016,8
kaiser,th_koeln,2016,6
lovric,uni_adelaide,2014,4
lovric,uni_erfurt,2009,2
lovric,uni_erfurt,2010,2
lovric,uni_erfurt,2011,2
lovric,uni_erfurt,2012,2
lovric,uni_hohenheim,2012,3
lovric,uni_hohenheim,2013,3
lovric,uni_hohenheim,2014,3
lovric,uni_hohenheim,2015,3
kaiser,uni_paderborn,2010,2
kaiser,uni_paderborn,2011,2
kaiser,uni_paderborn,2012,2
kaiser,uni_paderborn,2013,2
kaiser,wirtschaftsministerium_thueringen,2011,7
karl,faktor3,2015,9
karl,faktor3,2016,9
karl,hypr,2021,9
karl,hypr,2022,9
karl,murmann_publishers,2016,9
karl,murmann_publishers,2017,9
karl,murmann_publishers,2018,9
karl,murmann_publishers,2019,9
karl,murmann_publishers,2020,9
karl,schwaebischmedia,2013,10
karl,schwaebischmedia,2014,10
karl,schwaebischmedia,2015,10
karl,uni_hamburg,2012,3
karl,uni_hamburg,2013,3
karl,uni_hamburg,2014,3
karl,uni_tuebingen,2009,2
karl,uni_tuebingen,2010,2
karl,uni_tuebingen,2011,2
karl,uni_tuebingen,2012,2
karl,zeitungsgruppe_lahndill,2013,10
karl,zeitungsgruppe_lahndill,2014,10
karl,zeitungsgruppe_lahndill,2015,10
kemper,achtungmary,,12
kemper,gpra,,11
kemper,gwpr,,13
kemper,ketchum,,9
kemper,ogilvy,,9
kemper,prrat,,11
kemper,uni_bonn,,19
kepp,savechildren,,9
kiani,alsterradio,2009,7
kiani,axelspringer,2008,1
kiani,axelspringer,2009,1
kiani,axelspringer,2010,1
kiani,axelspringer,2011,1
kiani,axelspringer,2011,10
kiani,axelspringer,2012,10
kiani,axelspringer,2013,10
kiani,axelspringer,2014,10
kiani,bauer_media,2013,7
kiani,funke,2014,10
kiani,funke,2015,10
kiani,funke,2016,10
kiani,funke,2017,10
kiani,funke,2018,10
kiani,funke,2019,10
kiani,funke,2020,10
kiani,funke,2021,10
kiani,funke,2022,10
kiani,haw_hamburg,2011,2
kiani,haw_hamburg,2012,2
kiani,haw_hamburg,2013,2
kiani,haw_hamburg,2014,2
kiani,haw_hamburg,2015,2
kiani,haw_hamburg,2015,3
kiani,haw_hamburg,2016,3
kiani,haw_hamburg,2017,3
kiani,omnia360,2017,12
kiani,omnia360,2018,12
kiani,omnia360,2019,12
kiani,omnia360,2020,12
kiani,omnia360,2021,12
kiani,omnia360,2022,12
kiesewetter,bdistipendium,2017,14
kiesewetter,bdistipendium,2018,14
kiesewetter,bdkom,2016,11
kiesewetter,bdkom,2017,11
kiesewetter,bdkom,2018,11
kiesewetter,bdkom,2019,11
kiesewetter,bdkom,2020,11
kiesewetter,bdkom,2021,11
kiesewetter,bdkom,2022,11
kiesewetter,bundeswehr,2011,9
kiesewetter,bundeswehr,2012,9
kiesewetter,bundeswehr,2013,9
kiesewetter,dirk,,11
kiesewetter,familienversicherung,2016,7
kiesewetter,familienversicherung,2016,9
kiesewetter,familienversicherung,2017,9
kiesewetter,familienversicherung,2018,9
kiesewetter,familienversicherung,2019,9
kiesewetter,familienversicherung,2020,9
kiesewetter,familienversicherung,2021,9
kiesewetter,familienversicherung,2022,9
kiesewetter,hs_quadriga,2017,3
kiesewetter,hs_quadriga,2018,3
kiesewetter,jungeunion,2013,13
kiesewetter,jungeunion,2014,13
kiesewetter,uni_tuebingen,,2
kindermann,deutschemarkenarbeit,2013,7
kindermann,gdw,2018,13
kindermann,gdw,2019,13
kindermann,gdw,2020,13
kindermann,gdw,2021,13
kindermann,gdw,2022,13
kindermann,handelsblatt,2015,7
kindermann,kienbaum,2015,7
kindermann,kienbaum,2016,8
kindermann,kienbaum,2017,9
kindermann,kienbaum,2018,9
kindermann,kienbaum,2019,9
kindermann,loreal,2019,9
kindermann,loreal,2020,9
kindermann,loreal,2021,9
kindermann,loreal,2022,9
kindermann,luisenkrankenhaus,2011,7
kindermann,srh_heidelberg,2012,2
kindermann,srh_heidelberg,2013,2
kindermann,srh_heidelberg,2014,2
kindermann,srh_heidelberg,2015,2
kirchenbauer,dprg,2016,13
kirchenbauer,dprg,2017,13
kirchenbauer,dprg,2018,13
kirchenbauer,dprg,2019,13
kirchenbauer,dprg,2020,13
kirchenbauer,dprg,2021,13
kirchenbauer,dprg,2022,13
kirchenbauer,hdm,2019,15
kirchenbauer,hdm,2020,15
kirchenbauer,hdm,2021,15
kirchenbauer,hdm,2022,15
kirchenbauer,hs_pforzheim,2015,15
kirchenbauer,hs_pforzheim,2016,15
kirchenbauer,hs_pforzheim,2022,15
kirchenbauer,hs_pforzheim,2010,2
kirchenbauer,hs_pforzheim,2011,2
kirchenbauer,hs_pforzheim,2012,2
kirchenbauer,hs_pforzheim,2013,2
kirchenbauer,nanoscribe,2020,9
kirchenbauer,nanoscribe,2021,9
kirchenbauer,nanoscribe,2022,9
kirchenbauer,porsche,2012,7
kirchenbauer,porsche,2013,7
kirchenbauer,radio_regenbogen,2010,7
kirchenbauer,uni_hohenheim,2014,7
kirchenbauer,uni_hohenheim,2015,7
kirchenbauer,uni_hohenheim,2015,9
kirchenbauer,uni_hohenheim,2016,9
kirchenbauer,uni_hohenheim,2017,9
kirchenbauer,uni_hohenheim,2018,9
kirchenbauer,uni_hohenheim,2019,9
kirchenbauer,uni_hohenheim,2020,9
kirchenbauer,uni_hohenheim,2013,3
kirchenbauer,uni_hohenheim,2014,3
kirchenbauer,uni_hohenheim,2015,3
kirchenbauer,uni_hohenheim,2015,5
kirchenbauer,uni_hohenheim,2016,5
kirchenbauer,uni_hohenheim,2017,5
kirchenbauer,uni_hohenheim,2018,5
kirchenbauer,uni_hohenheim,2019,5
kirchenbauer,uni_hohenheim,2020,5
kirchenbauer,uni_southwestern,2015,4
klarholz,birmelin,2014,14
klarholz,birmelin,2015,14
klarholz,birmelin,2016,14
klarholz,birmelin,2017,14
klarholz,birmelin,2018,14
klarholz,birmelin,2019,14
klarholz,birmelin,2020,14
klarholz,birmelin,2021,14
klarholz,birmelin,2022,14
klarholz,brand,,17
klarholz,casselmann,,17
klarholz,fti_consulting,2018,9
klarholz,fti_consulting,2019,9
klarholz,fti_consulting,2020,9
klarholz,fti_consulting,2021,9
klarholz,fti_consulting,2022,9
klarholz,hnu_ulm,2016,15
klarholz,hnu_ulm,2017,15
klarholz,hnu_ulm,2018,15
klarholz,hnu_ulm,2019,15
klarholz,hs_kempten,2010,2
klarholz,hs_kempten,2011,2
klarholz,hs_kempten,2012,2
klarholz,hs_kempten,2013,2
klarholz,hs_kempten,2014,2
klarholz,skychefs,2014,7
klarholz,skychefs,2015,7
klarholz,skychefs,2015,9
klarholz,skychefs,2016,9
klarholz,strachwitz,,17
klarholz,uni_barcelona,2016,3
klarholz,uni_barcelona,2017,3
klarholz,uni_cadiz,2012,4
klarholz,uni_cadiz,2013,4
klein,hs_mittweida,,2
klein,humboldtuni,,21
klein,hypr,,12
klewes,ketchum,,9
klewes,uni_duesseldorf,,15
klewes,uni_siegen,,5
knaack,hsba,,3
knaack,ism,,2
knaack,lufthansa,,7
kniess,montuapartner,,9
kniess,uni_goettingen,,20
knoerle,porsche,,9
knoerle,uni_giessen,,20
knoerle,uni_giessen,,5
koc,auto1,,12
koc,bucerius,,21
koeppe,montuapartner,,9
koerner,eplseslang,2013,7
koerner,frischefische,2017,9
koerner,frischefische,2018,9
koerner,hypr,2019,9
koerner,hypr,2020,9
koerner,hypr,2021,9
koerner,hypr,2022,9
koerner,prinovis,2011,7
koerner,prinovis,2012,7
koerner,prinovis,2013,7
koerner,prinovis,2014,7
koerner,rlyl,2018,9
koerner,seedmatch,2014,7
koerner,seedmatch,2015,9
koerner,seedmatch,2016,9
koerner,seedmatch,2017,9
koerner,tu_dresden,2011,2
koerner,tu_dresden,2012,2
koerner,tu_dresden,2013,2
koerner,tu_dresden,2014,2
koerner,tu_dresden,2015,2
koester,achtungmary,2019,9
koester,achtungmary,2020,9
koester,achtungmary,2021,9
koester,achtungmary,2022,9
koester,earnesto,2016,9
koester,earnesto,2017,9
koester,earnesto,2018,9
koester,earnesto,2019,9
koester,omnicom,2012,7
koester,omnicom,2014,7
koester,omnicom,2015,7
koester,tchibo,2015,7
koester,uni_duesseldorf,2013,3
koester,uni_duesseldorf,2014,3
koester,uni_duesseldorf,2015,3
koester,uni_koblenzlandau,2010,2
koester,uni_koblenzlandau,2011,2
koester,uni_koblenzlandau,2012,2
koester,uni_koblenzlandau,2013,2
koester,zeron,2019,9
kohl,audi,2018,7
kohl,bdkom,,11
kohl,brunswick,2019,7
kohl,brunswick,2019,9
kohl,brunswick,2020,9
kohl,brunswick,2021,9
kohl,brunswick,2022,9
kohl,cnc_communications,2018,7
kohl,db_netz,2015,7
kohl,db_netz,2016,7
kohl,db_netz,2017,7
kohl,db_netz,2018,7
kohl,db_projektbau,2015,7
kohl,deutschlandstip,,14
kohl,fulbright,,14
kohl,hobartsmith,2014,4
kohl,hs_karlsruhe,2021,3
kohl,itcampus,2013,7
kohl,itcampus,2014,7
kohl,lprs,2017,13
kohl,lprs,2018,13
kohl,midewa,2013,7
kohl,promos,,14
kohl,uni_hongkong,2017,4
kohl,uni_leipzig,2012,2
kohl,uni_leipzig,2013,2
kohl,uni_leipzig,2014,2
kohl,uni_leipzig,2015,2
kohl,uni_leipzig,2016,2
kohl,uni_leipzig,2016,3
kohl,uni_leipzig,2017,3
kohl,uni_leipzig,2018,3
kohl,uni_leipzig,2019,3
kohl,vallentin,,17
kohl,von_halen,,17
kohl,wachtarz,,17
kohl,wedell,,17
kornblum,dapr,2019,6
kornblum,fleishmanhillard,2015,7
kornblum,fleishmanhillard,2016,8
kornblum,fleishmanhillard,2017,8
kornblum,mueller_michael,,17
kornblum,rettig,,17
kornblum,schott_glass,2017,9
kornblum,schott_glass,2018,9
kornblum,schott_glass,2019,9
kornblum,schott_glass,2020,9
kornblum,schott_glass,2021,9
kornblum,schott_glass,2022,9
kornblum,uni_cardiff,2013,2
kornblum,uni_cardiff,2014,2
kornblum,uni_cardiff,2015,2
kornblum,uni_cardiff,2016,2
kotysch,hs_worms,,20
kotysch,lufthansa,,9
kraus,tu_muenchen,,20
kraus,tum_institut,,9
krings,ressourcenmangel,,9
krings,uni_duisburg,,2
krings,uni_duisburg,,3
krollpfeiffer,bundestag,2017,7
krollpfeiffer,heimrich_hannot,2015,7
krollpfeiffer,ketchum,2016,7
krollpfeiffer,ressourcenmangel,2020,8
krollpfeiffer,ressourcenmangel,2021,8
krollpfeiffer,ressourcenmangel,2021,9
krollpfeiffer,ressourcenmangel,2022,9
krollpfeiffer,sozialministerium_sachsen,2017,7
krollpfeiffer,tu_dresden,2022,9
krollpfeiffer,tu_dresden,2013,2
krollpfeiffer,tu_dresden,2014,2
krollpfeiffer,tu_dresden,2015,2
krollpfeiffer,tu_dresden,2016,2
krollpfeiffer,tu_dresden,2017,2
krollpfeiffer,uni_leipzig,2018,7
krollpfeiffer,uni_leipzig,2019,7
krollpfeiffer,uni_leipzig,2017,3
krollpfeiffer,uni_leipzig,2018,3
krollpfeiffer,uni_leipzig,2019,3
krollpfeiffer,uni_leipzig,2020,3
krollpfeiffer,wsb_werbeagentur,2017,7
krollpfeiffer,wsb_werbeagentur,2018,7
krust,daimler,,9
krust,hs_pforzheim,,20
kuehn,freelance,,10
kuehn,uni_augsburg,,19
kurc,buergerfonds,,9
kurc,fu_berlin,,3
kurc,uni_madrid,,2
lagemann,fischerappelt,,9
lagemann,studienstiftung,,14
lagemann,uni_hamburg,,19
lamm,aachener_zeitung,2008,10
lamm,aachener_zeitung,2009,10
lamm,aachener_zeitung,2010,10
lamm,aachener_zeitung,2011,10
lamm,aachener_zeitung,2012,10
lamm,aachener_zeitung,2013,10
lamm,aachener_zeitung,2014,10
lamm,aachener_zeitung,2015,10
lamm,aachener_zeitung,2016,10
lamm,aachener_zeitung,2012,7
lamm,campusrelations,2011,13
lamm,campusrelations,2012,13
lamm,campusrelations,2013,13
lamm,campusrelations,2014,13
lamm,campusrelations,2015,13
lamm,campusrelations,2016,13
lamm,consumernext,2015,7
lamm,consumernext,2016,7
lamm,dprg,2017,13
lamm,dprg,2018,13
lamm,dprg,2019,13
lamm,dprg,2020,13
lamm,dprg,2021,13
lamm,dprg,2022,13
lamm,hillknowlton,2017,9
lamm,hillknowlton,2018,9
lamm,hillknowlton,2019,9
lamm,hillknowlton,2020,9
lamm,hillknowlton,2021,9
lamm,ketchum,2015,7
lamm,markenzeichen,2021,9
lamm,markenzeichen,2022,9
lamm,muenstersche,2012,10
lamm,muenstersche,2013,10
lamm,muenstersche,2014,10
lamm,nignbo,2013,7
lamm,powerradach,2012,7
lamm,uni_muenster,2012,7
lamm,uni_muenster,2013,7
lamm,uni_muenster,2014,7
lamm,uni_muenster,2015,7
lamm,uni_muenster,2011,2
lamm,uni_muenster,2012,2
lamm,uni_muenster,2013,2
lamm,uni_muenster,2014,2
lamm,uni_muenster,2014,3
lamm,uni_muenster,2015,3
lamm,uni_muenster,2016,3
langhans,campaigning_academy,2014,9
langhans,campaigning_academy,2015,9
langhans,cnc_communications,2012,7
langhans,cnc_communications,2013,7
langhans,freelance,2017,10
langhans,freelance,2018,10
langhans,freelance,2019,10
langhans,fu_berlin,2013,3
langhans,fu_berlin,2014,3
langhans,fu_berlin,2015,3
langhans,finsbury,2016,9
langhans,finsbury,2017,9
langhans,kaufmann_langhans,2019,12
langhans,kaufmann_langhans,2020,12
langhans,kaufmann_langhans,2021,12
langhans,kaufmann_langhans,2022,12
langhans,oliverwyman,2013,7
langhans,sciencespo_aix,2012,4
langhans,studienstiftung,2014,14
langhans,uni_muenster,2010,2
langhans,uni_muenster,2011,2
langhans,uni_muenster,2012,2
langhans,uni_muenster,2013,2
langhans,vandelaar,2013,9
langhans,vandelaar,2014,9
langhans,vandelaar,2015,9
langhans,welt_n24,2011,7
langlois,auctionata,2015,7
langlois,auctionata,2016,7
langlois,auto1,2017,9
langlois,auto1,2018,9
langlois,auto1,2019,9
langlois,auto1,2020,9
langlois,auto1,2021,9
langlois,bertermann,,17
langlois,hv_capital,2021,9
langlois,hv_capital,2022,9
langlois,img,2014,7
langlois,koc,,17
langlois,uni_bayreuth,2010,2
langlois,uni_bayreuth,2011,2
langlois,uni_bayreuth,2012,2
langlois,uni_bayreuth,2013,2
langlois,uni_bayreuth,2014,2
langlois,uni_hagen,2015,3
langlois,uni_hagen,2016,3
langlois,uni_hagen,2017,3
langlois,uni_hagen,2018,3
laubenbacher,bmw,2014,7
laubenbacher,bmw,2015,7
laubenbacher,br,2012,7
laubenbacher,efellows,2015,14
laubenbacher,radio_m945,2013,7
laubenbacher,siemens,2016,7
laubenbacher,siemens,2017,7
laubenbacher,siemens,2018,9
laubenbacher,siemens,2019,9
laubenbacher,siemens,2020,9
laubenbacher,siemens,2021,9
laubenbacher,siemens,2022,9
laubenbacher,uni_muenchen,2011,2
laubenbacher,uni_muenchen,2012,2
laubenbacher,uni_muenchen,2013,2
laubenbacher,uni_muenchen,2014,2
laubenbacher,uni_muenchen,2015,2
laubenbacher,uni_muenchen,2015,3
laubenbacher,uni_muenchen,2016,3
laubenbacher,uni_muenchen,2017,3
laubenbacher,uni_sanpablo,2015,4
lautenbach,fu_berlin,,19
lautenbach,lautenbachsass,,12
lautenbach,uni_mainz,,19
lechermann,akad,2013,2
lechermann,akad,2014,2
lechermann,akad,2015,2
lechermann,akad,2016,2
lechermann,akad,2017,2
lechermann,akad,2021,3
lechermann,akad,2022,3
lechermann,haller,,17
lechermann,siemens,2011,1
lechermann,siemens,2012,1
lechermann,siemens,2013,1
lechermann,siemens,2013,9
lechermann,siemens,2014,9
lechermann,siemens,2015,9
lechermann,siemens,2016,9
lechermann,siemens,2017,9
lechermann,siemens,2018,9
lechermann,siemens,2019,9
lechermann,siemens,2020,9
lechermann,siemens,2021,9
lechermann,siemens,2022,9
leinhos,uni_bonn,,21
leinhos,vodafone,,9
leithaeuser,kekstcnc,,9
leithaeuser,uni_edinburgh,,2
leithaeuser,uni_leipzig,,3
leithaeuser,uni_muenster,,19
leithoff,hdm,,2
leithoff,leitsinn,,12
lenzke,debattierclub,,11
lenzke,debattiergesellschaft,,11
lenzke,ewald,,17
lenzke,ewald_roessing,2014,9
lenzke,ewald_roessing,2015,9
lenzke,ewald_roessing,2016,9
lenzke,ewald_roessing,2017,9
lenzke,ewald_roessing,2018,9
lenzke,ewald_roessing,2019,9
lenzke,ewald_roessing,2020,9
lenzke,ewald_roessing,2021,9
lenzke,ewald_roessing,2022,9
lenzke,roessing,,17
lenzke,uni_mainz,2010,2
lenzke,uni_mainz,2011,2
lenzke,uni_mainz,2012,2
lenzke,uni_mainz,2013,2
lenzke,uni_mainz,2014,2
lenzke,uni_mainz,2015,2
lenzke,uni_saarland,2016,3
lenzke,uni_saarland,2017,3
lenzke,uni_saarland,2018,3
lenzke,uni_saarland,2019,3
lenzke,uni_saarland,2020,3
liepold,lhlk,,12
liepold,uni_mannheim,,19
linne,ddb,,9
linne,fom,,2
linne,grey,,9
loesch,lhlk,,12
lohse,bundestag,2015,7
lohse,kekstcnc,2016,9
lohse,kekstcnc,2017,9
lohse,kekstcnc,2018,9
lohse,kekstcnc,2019,9
lohse,kekstcnc,2020,9
lohse,ketchum,2014,7
lohse,ketchum,2015,7
